0,23,2,10,1,5,4,2068,3059,100957,1,2,0,5,23,10,39,13,2174,0,40
0,23,2,5,5,4,6,3984,7521,267357,5,2,0,4,23,5,50,13,0,0,13
0,23,0,0,2,5,4,9981,631,448230,2,0,0,5,23,0,38,9,0,0,40
0,23,15,0,2,4,7,8464,631,815584,2,15,0,4,23,0,53,7,0,0,40
1,8,2,2,2,3,2,994,6487,327257,2,2,1,3,8,2,28,13,0,0,40
1,23,14,5,2,3,4,5702,7521,579665,2,14,1,3,23,5,37,14,0,0,40
1,36,3,9,2,5,6,7493,8750,75780,2,3,1,5,36,9,49,5,0,0,16
0,23,0,5,5,4,7,7543,7521,683815,5,0,0,4,23,5,52,9,0,0,45
1,23,14,2,2,5,3,9300,1721,125900,2,14,1,5,23,2,31,14,14084,0,50
0,23,2,5,2,4,5,3984,7521,862658,2,2,0,4,23,5,42,13,5178,0,40
0,23,4,5,2,4,4,4396,7521,618701,2,4,0,4,23,5,37,10,0,0,80
0,38,2,2,1,4,2,994,5826,327257,1,2,0,4,38,2,30,13,0,0,40
1,23,2,10,2,0,1,2068,3059,149494,2,2,1,0,23,10,23,13,0,0,30
0,23,5,3,2,5,3,2474,2366,923362,2,5,0,5,23,3,32,12,0,0,50
0,12,13,8,2,4,4,4959,8588,193754,2,13,0,4,12,8,40,11,0,0,40
0,18,7,11,2,4,3,1037,6785,466381,2,7,0,4,18,11,34,4,0,0,45
0,23,0,7,5,0,1,1411,7917,312593,5,0,0,0,23,7,25,9,0,0,35
0,23,0,12,2,1,3,3447,6773,619787,2,0,0,1,23,12,32,9,0,0,40
0,23,15,3,2,4,4,7341,2366,203204,2,15,0,4,23,3,38,7,0,0,50
1,23,14,5,5,1,5,5702,7521,623048,5,14,1,1,23,5,43,14,0,0,45
0,23,6,2,2,4,4,9900,1721,175789,2,6,0,4,23,2,40,16,0,0,60
1,23,0,9,2,1,7,8000,5442,467348,2,0,1,1,23,9,54,9,0,0,20
0,23,3,7,4,4,3,510,7917,216534,4,3,0,4,23,7,35,5,0,0,40
0,23,15,11,2,4,5,2650,5019,146776,2,15,0,4,23,11,43,7,0,2042,40
1,23,0,13,2,1,8,6785,8419,969808,2,0,1,1,23,13,59,9,0,0,40
0,23,2,13,4,4,8,920,8419,913969,4,2,0,4,23,13,56,13,0,0,40
0,23,0,8,2,0,1,4291,4177,190853,2,0,0,0,23,8,19,9,0,0,40
0,17,4,6,3,4,7,5832,2786,846396,3,4,0,4,17,6,54,10,0,0,60
0,23,0,5,2,5,4,7543,7521,932332,2,0,0,5,23,5,39,9,0,0,80
0,23,0,8,2,4,6,4291,4177,696192,2,0,0,4,23,8,49,9,0,0,40
0,23,5,14,4,5,1,4006,4718,963124,4,5,0,5,23,14,23,12,0,0,52
0,23,4,3,2,0,1,6051,2366,586193,2,4,0,0,23,3,20,10,0,0,44
0,23,2,5,2,0,5,3984,7521,862658,2,2,0,0,23,5,45,13,0,1408,40
0,23,4,10,4,0,2,2556,3059,6585,4,4,0,0,23,10,30,10,0,0,40
0,23,4,9,1,4,1,5119,5442,319421,1,4,0,4,23,9,22,10,0,0,15
0,7,15,12,2,1,6,5994,4402,378957,2,15,0,1,7,12,48,7,0,0,40
0,23,4,12,2,0,1,7760,6773,770226,2,4,0,0,23,12,21,10,0,0,40
1,23,0,10,2,3,1,7953,3059,441911,2,0,1,3,23,10,19,9,0,0,25
0,12,4,3,2,4,3,6051,2705,267,2,4,0,4,12,3,31,10,0,0,38
0,23,5,2,5,4,6,8117,1721,72156,5,5,0,4,23,2,48,12,0,0,40
0,23,3,12,2,4,3,7210,6773,586426,2,3,0,4,23,12,31,5,0,0,43
0,23,2,2,5,4,7,994,1721,731610,5,2,0,4,23,2,53,13,0,0,40
0,23,2,13,2,4,1,920,8419,432162,2,2,0,4,23,13,24,13,0,0,50
1,23,0,10,2,1,6,7953,3059,83898,2,0,1,1,23,10,49,9,0,0,40
0,23,0,0,2,5,1,9981,631,93515,2,0,0,5,23,0,25,9,0,0,35
0,23,2,2,4,4,8,994,1721,274783,4,2,0,4,23,2,57,13,0,0,40
0,23,0,12,2,4,7,3447,6773,608391,2,0,0,4,23,12,53,9,0,0,38
1,23,14,5,2,1,5,5702,7521,623048,2,14,1,1,23,5,44,14,0,0,40
0,23,13,8,1,4,5,4959,4177,219297,1,13,0,4,23,8,41,11,0,0,40
0,23,13,2,2,5,2,555,1721,717896,2,13,0,5,23,2,29,11,0,0,43
1,23,4,5,2,3,1,4396,7521,68330,2,4,1,3,23,5,25,10,0,0,40
1,12,0,9,2,0,0,8000,5653,129083,2,0,1,0,12,9,18,9,0,0,30
